month,n_images,valid_days,year,gap_days,gap_fraction
3,31,13.3603031310867,2013,17.639696868913294,0.5690224796423747
10,31,28.1776116279486,2013,2.822388372051412,0.0910447861951953
11,30,16.106171481796228,2013,13.893828518203772,0.46312761727344
12,31,13.55306095205657,2013,17.446939047943427,0.5628044854175223
1,31,14.182911741302568,2014,16.81708825869744,0.5424867180225128
2,28,19.546990035247145,2014,8.453009964752857,0.3018932130268766
3,31,15.046615853256323,2014,15.953384146743684,0.5146252950562505
10,31,17.93094310668701,2014,13.069056893312984,0.4215824804294055
11,30,15.559327589269804,2014,14.440672410730205,0.4813557470243425
12,31,13.104423040164964,2014,17.895576959835033,0.5772766761237208
1,31,14.106076302283146,2015,16.89392369771685,0.5449652805715168
2,28,13.247151587410544,2015,14.75284841258946,0.5268874433067573
3,31,13.512151502170664,2015,17.487848497829333,0.5641241450912878
10,31,17.54646154798875,2015,13.453538452011246,0.4339851113551453
11,30,16.283349591158796,2015,13.716650408841192,0.4572216802946787
12,31,16.414919726020354,2015,14.585080273979642,0.4704864604509527
1,31,9.745047788850393,2016,21.2549522111496,0.6856436197144865
2,20,13.088297221041357,2016,6.911702778958656,0.3455851389479512
3,31,12.0948757518805,2016,18.90512424811949,0.6098427176812925
10,31,25.73174127124045,2016,5.26825872875953,0.1699438299599413
11,30,21.97650572031884,2016,8.023494279681145,0.2674498093227058
12,31,11.18244978934304,2016,19.81755021065696,0.6392758132470023
1,31,15.934496585615692,2017,15.065503414384317,0.4859839811091586
2,28,15.59887208662589,2017,12.40112791337411,0.4428974254776394
3,31,12.54968843468315,2017,18.45031156531684,0.5951713408166894
10,31,25.152037254225267,2017,5.847962745774737,0.1886439595410772
11,30,16.665437656184004,2017,13.334562343815998,0.4444854114605032
12,31,16.840920034088718,2017,14.159079965911271,0.4567445150293682
1,31,12.872577854582689,2018,18.12742214541732,0.584755553077992
2,28,8.936872459030788,2018,19.0631275409692,0.6808259836060537
3,31,15.42076950106236,2018,15.579230498937632,0.502555822546363
10,31,19.025322358854343,2018,11.974677641145648,0.3862799239078973
11,30,10.835619167732265,2018,19.16438083226772,0.63881269440901
12,31,9.295224801660652,2018,21.704775198339348,0.7001540386560781
1,31,10.49249792668298,2019,20.50750207331701,0.6615323249457049
2,28,12.20061729938252,2019,15.799382700617478,0.5642636678792061
3,31,9.954372748635544,2019,21.04562725136444,0.6788912016568946
10,31,22.795186097333342,2019,8.204813902666656,0.26467141621498
11,30,22.59109664328964,2019,7.408903356710346,0.2469634452236693
12,31,12.022105893714237,2019,18.977894106285767,0.6121901324608394
1,31,10.02125298286871,2020,20.97874701713128,0.6767337747461597
2,29,7.874139521479575,2020,21.125860478520416,0.7284779475352124
3,31,12.064519993149489,2020,18.935480006850508,0.6108219357048594
10,31,28.51685204483244,2020,2.4831479551675546,0.0801015469408775
11,30,14.131756668635113,2020,15.868243331364882,0.5289414443788683
12,31,18.410473547595263,2020,12.589526452404732,0.4061137565291499
1,31,16.00288505368998,2021,14.997114946310022,0.4837779014938638
2,28,16.275854957506255,2021,11.724145042493728,0.4187194658033181
3,31,13.572245135920255,2021,17.427754864079738,0.5621856407767483
10,31,23.927817242804924,2021,7.0721827571950735,0.2281349276513973
11,30,19.53639330247067,2021,10.463606697529327,0.3487868899176432
12,31,14.868171374448188,2021,16.131828625551808,0.520381568566192
1,31,10.981971253256958,2022,20.01802874674303,0.6457428627981743
2,28,15.277584122274108,2022,12.722415877725885,0.4543719956330589
3,31,8.141080917585924,2022,22.85891908241407,0.7373844865294313
10,19,13.636439681399224,2022,5.3635603186007685,0.2822926483473928
11,30,18.337335561578087,2022,11.662664438421896,0.3887554812807
12,31,17.976305873461477,2022,13.02369412653852,0.4201191653721763
1,31,16.596664072522934,2023,14.403335927477066,0.4646237395960193
2,28,14.87357663706804,2023,13.12642336293195,0.4688008343904182
3,31,13.824294100840037,2023,17.17570589915996,0.5540550290051575
10,31,20.06220273344718,2023,10.937797266552815,0.3528321698887675
11,30,14.161496742420915,2023,15.838503257579076,0.5279501085859877
12,31,17.106117265617897,2023,13.893882734382103,0.4481897656252177
1,31,10.43073699484904,2024,20.569263005150955,0.6635246130693558
2,29,10.198655517089517,2024,18.80134448291048,0.6483222235486951
3,31,14.719603473714876,2024,16.280396526285113,0.5251740814930522
