meltout_doy,obs_days,onset_doy,scd_days,season_end,season_start,season_label
137.59357093966386,130.39545078673993,95.13384773640712,7.743472661242082,2001,2000,2000/01
133.30645864960027,119.70571181294024,76.83661931592873,11.547304157760404,2002,2001,2001/02
145.41332967773118,111.75690902362616,80.43640911689026,10.115195252638657,2003,2002,2002/03
153.96129495592297,117.1904186037152,106.91630103651778,6.306726884375141,2004,2003,2003/04
147.86969165237704,129.1641760155939,86.64787491793592,13.491958566068828,2005,2004,2004/05
144.44218714420109,130.50331986744015,91.30066620040074,8.675722435094347,2006,2005,2005/06
141.10357352176737,121.74743947531744,73.24811692970218,13.647297434954282,2007,2006,2006/07
137.8057891766891,139.64466150460385,90.45173298173198,9.852829762224102,2008,2007,2007/08
130.2432267237018,129.01832422491495,87.79251232687257,6.4854795219169175,2009,2008,2008/09
138.71453926551214,112.92420159599168,95.95064574266002,3.485533798335452,2010,2009,2009/10
143.5817016971493,143.34796075784814,100.6040224856922,7.371705546393353,2011,2010,2010/11
168.96791388876687,131.13391995439082,99.19733147074128,11.37456099202594,2012,2011,2011/12
133.85771294934088,122.14867518852613,89.67070085662417,9.19121449721332,2013,2012,2012/13
117.60004981319372,143.53817867134342,77.27958184364071,8.170779154554122,2014,2013,2013/14
137.12264255059043,125.69901283182476,83.6550183821819,8.071014850353404,2015,2014,2014/15
127.04354722830632,122.05318694443102,73.99985415109468,8.915759761087948,2016,2015,2015/16
147.93417929764448,142.5364359525309,88.30359763895606,10.751242499267022,2017,2016,2016/17
132.08347135896668,129.30537919066208,82.46979187166721,4.3064031836703744,2018,2017,2017/18
139.12711296256327,109.1846682250003,88.08954290546508,8.18733876334463,2019,2018,2018/19
145.66380572040646,124.83125530753787,99.39563398707956,7.487420581581762,2020,2019,2019/20
136.11249848288026,149.76525217058986,88.41926667223456,6.557314003872331,2021,2020,2020/21
133.60937433511492,129.28755643527663,96.50081457920038,10.223575260579516,2022,2021,2021/22
147.7213958969715,130.8728586943864,107.09244246886398,6.746968848769451,2023,2022,2022/23
142.41152940132957,125.7194087171542,89.34140915019732,5.242457098888681,2024,2023,2023/24
