date,year,month,snowmelt_sum,runoff_sum,surface_runoff_sum,sub_surface_runoff_sum,total_evaporation_sum,snow_depth_water_equivalent
2000-01,2000,1,0.027731690990979812,0.007904529774470042,0.005835075235038382,0.0020694522766314814,-0.012456266727583208,0.040294768306884596
2000-02,2000,2,0.04492954429731068,0.00894669742573747,0.0062244260837389645,0.002722269400438168,-0.020810157082576265,0.09038778990474518
2000-03,2000,3,0.06008197274230759,0.023671880535980176,0.015011222610592146,0.008660658258716897,-0.043178067320917744,0.07096229943269307
2000-04,2000,4,0.05438299190425712,0.03438128321419966,0.01608879107891587,0.01829248636628306,-0.07819693821716404,0.01860429657051021
2000-05,2000,5,4.1356662189238257E-4,0.01646462068814215,7.322377400404283E-4,0.015732362303638378,-0.09362581352209828,2.7213352882948497E-5
2000-06,2000,6,1.7331970508787554E-9,0.007456124726230542,1.81024653615055E-5,0.007437981110047168,-0.059855261098298806,-7.345364920210326E-25
2000-07,2000,7,3.5799403091135824E-9,0.003976521981866471,2.570643936562877E-5,0.003950783759572787,-0.04446710204778436,-7.345364920210326E-25
2000-08,2000,8,2.0932346873080365E-9,0.002245828391083409,6.617250844527518E-6,0.0022391693974496045,-0.029673492726882873,-7.345364920210326E-25
2000-09,2000,9,7.051421992638605E-10,0.001487670508346055,7.460709907141387E-5,0.0014130275792221853,-0.02002372287646412,-7.345364920210326E-25
2000-10,2000,10,3.071940920340039E-5,0.0015373576742716982,4.4888101852673244E-4,0.001088453221624307,-0.024292907401341098,1.5658791952416197E-6
2000-11,2000,11,0.0019798162901901077,0.002641709459724068,0.001774311182351132,8.673788272780875E-4,-0.018589003001151013,3.274148913449334E-4
2000-12,2000,12,0.017825718482405273,0.00792303412663461,0.006051982371745659,0.001871041183536754,-0.017885402210735896,0.0108623421689626
2001-01,2001,1,0.024024878100316227,0.0029306994303691563,0.001981005905263182,9.496851011271271E-4,-0.018174243833067916,0.0232867161345716
2001-02,2001,2,0.04745389767469859,0.011515209998081333,0.008080652634977748,0.003434563210120591,-0.02208538307985649,0.03369020648041267
2001-03,2001,3,0.05016558868358172,0.035879981593027785,0.021041056279279092,0.014838914019313592,-0.056603459006109885,0.022551641380057393
2001-04,2001,4,0.004688623916602967,0.02444688615058682,0.005755946032007967,0.018690929018996112,-0.08767291386384214,5.377732639277594E-4
2001-05,2001,5,1.4275202244683384E-5,0.01890120467900533,0.003983805365590039,0.014917392289709548,-0.0989945571847855,3.9280533087976435E-7
2001-06,2001,6,1.4198096442507107E-9,0.008870603826797089,8.494757932771431E-6,0.008862068206749594,-0.07075198086067924,-7.345364920210326E-25
2001-07,2001,7,5.895722025993975E-9,0.005098000791057161,6.150141647337627E-5,0.005036463141585866,-0.049190999065993474,-7.345364920210326E-25
2001-08,2001,8,2.7155617377476157E-9,0.0029188730839801854,9.515955937822403E-6,0.0029093242862635207,-0.033682247084021365,-7.345364920210326E-25
2001-09,2001,9,1.284534727503645E-9,0.0018541361659186553,2.987825093197853E-5,0.0018242310295259515,-0.02093705459817494,-7.345364920210326E-25
2001-10,2001,10,1.3538223323635599E-5,0.001670129004585872,3.000577292501584E-4,0.001370049635472068,-0.02136716725385892,7.49876930579523E-7
2001-11,2001,11,0.010983876179064697,0.002049126914676616,9.786388482040415E-4,0.0010704780818758986,-0.019397356961129906,0.005081544056123941
2001-12,2001,12,0.017176180242879636,0.0162320400394519,0.012624651740287596,0.003607393735001481,-0.018028442064930122,0.015016717733960955
2002-01,2002,1,0.029523420916303562,0.03051999744992428,0.016567833905071612,0.013952166184808015,-0.013098323959507115,0.04545567056711252
2002-02,2002,2,0.035871383450406504,0.03483787077612141,0.012284608411096406,0.022553256253978925,-0.02578137944952686,0.04675844200324807
2002-03,2002,3,0.03663784591622938,0.06955628867768829,0.02196555021837864,0.04759073689735442,-0.05391428340628371,0.034855329204828894
2002-04,2002,4,0.0305053588576601,0.15564122547675968,0.03586428415866711,0.11977694707006238,-0.07134891509320654,0.016368677372496553
2002-05,2002,5,0.003601119512043866,0.0648582932751156,0.0022540674867180454,0.06260421405561177,-0.10480244231904792,7.080554678815091E-4
2002-06,2002,6,3.2981740073027322E-9,0.02115851689716497,1.3092058330548615E-5,0.021145398619865256,-0.0688425000425897,-7.27919033709973E-25
2002-07,2002,7,5.83738898491558E-9,0.009741177516277235,1.2335485256867894E-5,0.009728798838630724,-0.05008813572490588,-7.27919033709973E-25
2002-08,2002,8,3.3459849328649507E-9,0.005037610083476417,6.732655394020321E-7,0.005036902243877652,-0.03587982345102344,-7.27919033709973E-25
2002-09,2002,9,9.107630889125615E-10,0.002961527122975716,4.0375324314118625E-6,0.0029574662426490755,-0.023527592746643178,-7.27919033709973E-25
2002-10,2002,10,2.7650578265869556E-9,0.0025036188727846458,3.73716387273552E-4,0.00212988229595071,-0.025081182939189983,-7.27919033709973E-25
2002-11,2002,11,6.121447582812626E-4,0.0026370275834109802,0.0010163697054541441,0.0016206390589986013,-0.026190216980360705,8.990391582650302E-5
2002-12,2002,12,0.020466320102048213,0.015862643037470956,0.010926924749525797,0.004935720560813657,-0.012811525470570309,0.0356788691053132
2003-01,2003,1,0.05013394210582032,0.017911767531801594,0.00938183467434309,0.008529933533442136,-0.014053247531068902,0.06908883916947307
2003-02,2003,2,0.04292261644490258,0.04968556337566317,0.012552740647857866,0.037132826987292894,-0.01796675800050935,0.0996673745761716
