year,month,NCP,MOI
1960,12,-1.2872564,-2.0067859
1961,1,-0.5387838,-0.4523494
1961,2,0.7465278,1.8567507
1961,3,1.249851,1.1171389
1961,4,0.24437237,-0.8790203
1961,5,-0.47121066,-0.11054289
1961,6,-0.12199122,0.76194775
1961,7,-0.16431028,1.402406
1961,8,0.03945297,1.7479016
1961,9,0.64980197,0.50787246
1961,10,-0.4081179,-0.33184323
1961,11,0.467211,-2.4916139
1961,12,-0.16533923,-0.4403716
1962,1,-0.13036978,0.50959176
1962,2,0.043506593,0.2540319
1962,3,-1.4508212,-1.7091112
1962,4,-0.81877536,-0.26837027
1962,5,-1.2620091,0.3784726
1962,6,0.21691501,1.2958037
1962,7,-0.7066582,1.0088842
1962,8,-0.3353058,1.3783003
1962,9,-0.22166097,0.6443572
1962,10,1.5179675,-0.1693944
1962,11,-0.7257659,-1.8151388
1962,12,0.5289159,-0.5807061
1963,1,0.5704895,-1.3805442
1963,2,-1.0991931,-1.9380093
1963,3,1.0454831,0.44212535
1963,4,-0.9482464,0.13496971
1963,5,-0.64221954,0.96973926
1963,6,-0.18176165,0.31836987
1963,7,-0.22568226,1.3920821
1963,8,-0.6695152,1.0450133
1963,9,-0.08034992,0.6874663
1963,10,0.7579975,0.8463839
1963,11,-0.5861629,-0.6547228
1963,12,1.287917,-2.2279725
1964,1,3.1848252,0.80761683
1964,2,0.016177952,-0.2574697
1964,3,0.26242977,-0.9704767
1964,4,0.1200555,-0.0999496
1964,5,-0.13492298,0.55377996
1964,6,-0.064623475,0.96996146
1964,7,-0.0364635,1.9206998
1964,8,0.07520002,1.2313738
1964,9,0.41110098,1.2465498
1964,10,0.07191712,-0.3164295
1964,11,1.4676895,0.12648833
1964,12,-1.0576562,-1.5899019
1965,1,-1.046031,-0.593884
1965,2,1.7460525,-0.027608752
1965,3,-0.4927665,0.36882198
1965,4,-0.36913514,-0.21156776
1965,5,-0.47938803,0.2671272
1965,6,-0.3267855,0.9051004
1965,7,-0.8525734,0.9651039
1965,8,-0.21848536,0.9606592
1965,9,-0.44614893,0.11282182
1965,10,2.0082603,-0.53765374
1965,11,-0.59579533,-0.9691949
1965,12,-2.1097417,-0.6936088
1966,1,-0.40346295,-0.94373584
1966,2,-0.16715217,-1.3329315
1966,3,0.13513553,0.7874099
1966,4,-1.0848633,-0.2656923
1966,5,-0.2435376,0.029229477
1966,6,0.17899752,0.6536176
1966,7,-0.75100523,0.998437
1966,8,-0.4934501,0.79543567
1966,9,0.6132081,0.53356856
1966,10,-0.2419356,-1.456675
1966,11,-1.4210048,-0.03933326
1966,12,-1.5666182,0.35566363
1967,1,0.3553325,-0.09814572
1967,2,0.30189365,-0.2529636
1967,3,-0.62605184,1.15783
1967,4,-0.8218711,-0.9875506
1967,5,-1.7248249,-0.0412035
1967,6,0.21880174,0.7472708
1967,7,0.19500303,1.6446018
1967,8,-0.71969855,1.0748302
1967,9,0.08940196,0.48627418
1967,10,-1.1182257,0.19761828
1967,11,-1.1885228,-1.0579481
1967,12,0.33595932,-0.9689602
1968,1,0.44441235,0.7007297
1968,2,-0.6020007,-1.6605148
1968,3,0.27966315,-0.547671
1968,4,-0.00984323,-0.3763981
1968,5,-1.2827165,0.06685597
1968,6,0.0807209,0.6183486
1968,7,0.44643718,1.4705868
1968,8,-0.121747375,0.41190827
1968,9,-0.1957345,0.49776977
1968,10,0.62781477,0.7046159
1968,11,0.6234337,-1.9927406
1968,12,0.047313094,-1.4447925
1969,1,0.3426069,-0.19829158
1969,2,-0.9687762,-2.0467267
1969,3,0.48657078,-0.5907142
1969,4,-0.7811064,-0.45921147
1969,5,0.18169644,0.20857087
