snow,driver,n,r_pearson,p_pearson,r_detrended,p_detrended,r_spearman,p_spearman,family,q_pearson,sig_pearson,q_detrended,sig_detrended
sca_mean,t2m_djfm,24,-0.7750356980332997,6.158504232337999e-06,-0.7343660329250292,7.915383176821375e-05,-0.7313043478260869,3.671680532322771e-05,climate,0.00019296646594659062,True,0.0017415585859095037,True
sca_mean,t2m_ondjfm,24,-0.7058918151040607,0.00010542542388654846,-0.6331030752842023,0.0013134347034845814,-0.6208695652173912,0.001123931595283501,climate,0.001237464749283048,True,0.009877028970204052,True
sca_mean,tmin_djfm,24,-0.723057887113445,0.00011699975656148938,-0.6464180482472967,0.0005897387912252082,-0.7208695652173912,0.00012552237366355172,climate,0.001237464749283048,True,0.0058353101447546915,True
sca_mean,tmax_djfm,24,-0.7017015295761929,0.00010888599233772565,-0.6728998756625659,0.0004212823245948165,-0.7069565217391304,9.167232913242466e-05,climate,0.001237464749283048,True,0.004950067313989094,True
sca_mean,precip_ondjfm,24,0.141594633461319,0.5094324021351424,0.19836009998077997,0.35233565828814895,0.18,0.40016689244194326,climate,0.6924255289692474,False,0.590344949899456,False
sca_mean,precip_djfm,24,0.28468133574211485,0.17738024575795502,0.338417554438951,0.10572607287266646,0.33652173913043476,0.10770658369288166,climate,0.4017769421987415,False,0.2660591622489209,False
sca_mean,snowfall_ondjfm,24,0.86693128013207,8.555984887961841e-08,0.8373431626300921,3.3300412053473105e-07,0.8426086956521738,4.46606895214346e-07,climate,1.0723501059578842e-05,True,3.130238733026472e-05,True
sca_mean,snowfall_fraction_ondjfm,24,0.765725277900848,1.7526874306515476e-05,0.7094641628505953,0.00011289029443467094,0.7321739130434782,6.195969253434269e-05,climate,0.0003980718682256355,True,0.0022340395109176985,True
sca_mean,pdd_ondjfm,24,-0.7069967300637479,9.21659089875083e-05,-0.6378578220949387,0.0012271338426945056,-0.5991304347826086,0.0017365936932265834,climate,0.001237464749283048,True,0.009568963147054335,True
sca_mean,isotherm0_m_djfm,24,-0.7796090701108629,5.399973086937375e-06,-0.7386797830731447,6.470950161300136e-05,-0.7365217391304346,3.226556630215416e-05,climate,0.00019296646594659062,True,0.0017139899932285534,True
sca_mean,swe_max,24,0.8061516292550346,3.3663138846513872e-06,0.7915039067058647,3.2042288610472904e-06,0.7817391304347826,1.0431150817043593e-05,climate,0.0001488171507601784,True,0.00024095801035075624,True
sca_mean,NAO_ONDJFM,24,0.0664304433522443,0.7620400705871818,0.2509535682104339,0.2349396320484836,0.03652173913043478,0.8678860218337616,circulation,0.8615375211246477,False,0.4507005186236216,False
sca_mean,EA_ONDJFM,24,-0.22120733152246577,0.3022607433131558,-0.17505266563551175,0.41119603762185186,-0.17217391304347823,0.42433590146073574,circulation,0.551699220804595,False,0.6328388605266031,False
sca_mean,WP_ONDJFM,24,-0.44823322664651244,0.035179563514196294,-0.29469930336856826,0.1563935818592659,-0.348695652173913,0.10933434119345638,circulation,0.13227515881337806,False,0.3405540140887834,False
sca_mean,EAWR_ONDJFM,24,0.4415926755157461,0.035150616171054645,0.5800466383878912,0.002363198408501107,0.4269565217391304,0.04245024097548393,circulation,0.13227515881337806,False,0.014104168279308193,True
sca_mean,SCAND_ONDJFM,24,-0.1723050329478048,0.398056259791173,-0.3077384093642712,0.16241017796293572,-0.1973913043478261,0.33181758692948904,circulation,0.6561045223853437,False,0.3450069317178748,False
sca_mean,POL_ONDJFM,24,0.4001296262339733,0.048657970307206186,0.36463541789512877,0.08635202259764214,0.3139130434782608,0.12846875635502267,circulation,0.17098501715429462,False,0.22865042603319327,False
sca_mean,AO_ONDJFM,24,0.2173740875447362,0.2948828431727773,0.4043880361635093,0.058322641914845375,0.23478260869565212,0.2569228536059376,circulation,0.5488908367968528,False,0.16739933862581574,False
sca_mean,NINO34_ONDJFM,24,0.045589395108328976,0.8318711542726639,0.09253470797856268,0.6679113109473696,0.03739130434782608,0.8617904696876397,circulation,0.9039987110015076,False,0.8088651502845464,False
