wy,snowmelt,runoff,surface_runoff,subsurface_runoff,runoff_centre_of_timing,winter_share,spring_share
2001,146.18352907487082,124.5176969794532,49.22703117101708,75.2904435358305,6.606925416650792,0.17964469386850387,0.41936765554703254
2002,164.31273669022204,414.2638032342175,102.86983083923162,311.393807859187,6.6508754695867625,0.1969515744038298,0.5833433521403047
2003,327.24050252769143,510.8916388965259,114.64875812498323,396.2427037384834,6.570536924841233,0.1633614011088547,0.5004554827174592
2004,213.2905587448717,491.2879748438761,113.28935311881257,377.9984722157303,5.858604875106964,0.3947691494228343,0.29570152057780036
2005,248.6214501669913,385.0044547714569,90.59568392122354,294.4086259707235,6.337953949926063,0.18309948945394935,0.3634177510059566
2006,211.19310610465973,444.8661209358205,130.28301599458766,314.5829062559118,6.379096356913593,0.3368809134125321,0.41460078631458763
2007,201.1656447263433,404.7923368584005,96.9361397677299,307.8560432365203,6.446622620465149,0.14016398945168088,0.5415114784015994
2008,144.04179115559043,108.95482432379539,39.888503573150025,69.0661243466521,6.258249330129932,0.21824720087747798,0.35276089659526727
2009,138.71527124549152,134.9677629353325,47.04712246202685,87.92051051903155,6.937033060524942,0.11367330766532203,0.5686245380557683
2010,102.975300037757,415.2853154343334,101.70560830732758,313.5795045431832,6.040425497753176,0.3042995315188336,0.3396647433832657
2011,132.1398113134031,311.499126085199,93.38236310396853,218.1165447316941,7.163371552827348,0.10898855310845619,0.6654521479649883
2012,278.88469620893505,278.2150197524492,69.64626222430893,208.5685509944002,6.857616209938487,0.10251720762251518,0.632127617505607
2013,206.95536396519535,443.7107938620479,117.70074819274032,326.0098461612221,5.728084835096766,0.45033899852652787,0.27724104762456414
2014,105.24415374008359,193.4801329508298,64.88674623214355,128.59320856160778,6.317535680413057,0.20840648639081608,0.37292970735626496
2015,138.85246612209926,315.1565218879346,77.91350136001988,237.2428872868165,6.096903089666956,0.2109672756460027,0.4230444605574752
2016,202.48684137119267,588.3182263462852,130.75138411785977,457.5666644642346,5.758262183907614,0.33221550411763495,0.32427232424440117
2017,181.7423138784334,274.8422688724281,75.54978546658096,199.2922847916484,6.750005361024531,0.12485932636935566,0.5738794630991275
2018,68.70204260595415,249.8207440721337,84.31854730882543,165.5020084388087,6.532769833980546,0.2775204875995038,0.3925161016632713
2019,213.79157848717497,928.635572522043,195.23086186615856,733.404569830375,5.807996702486395,0.35064003753565237,0.3641719484952962
2020,173.31645782920063,406.7550200484268,98.00518995697051,308.74966364859404,6.770980851718765,0.14444244527723865,0.5291317742175307
2021,108.12763349096156,112.91831565819581,38.58596077702564,74.3321526764554,6.225827645435312,0.24725527186620008,0.38892532935506496
2022,175.28974166562944,166.98061287793712,55.538037200062355,111.44234583623397,6.632620410135052,0.22121432198514063,0.4877466426052482
2023,116.94549937285058,197.8203007548572,76.64405804334802,121.17604812858761,6.809458469346582,0.109900289493749,0.5553006732847574
2024,117.2548868386776,520.3015684601038,134.0079335023173,386.29347014977714,6.057825838617085,0.3205961443072016,0.334631390142157
