variable,sens_slope_per_yr,kendall_tau,mk_p,change_point_season,pettitt_p,mean_before,mean_after,mean_shift_pct
sca_mean,-77.27405718954249,-0.28985507246376807,0.04925402223617705,2008,0.1585234385294631,4303.507625,2985.8232395833334,-30.61884630485967
sca_max,-183.66091830065366,-0.21014492753623187,0.15896450194870432,2008,0.3256758167803939,11408.223000000002,8467.302625,-25.77895238373234
sle_mean,8.302998750000011,0.24637681159420288,0.09679484130838545,2012,0.3629393690397159,2021.1300250000002,2158.5208,6.797720745353808
sle_djfm,8.839087500000005,0.2753623188405797,0.062321077340041824,2008,0.259624353710876,1791.06821875,1937.6211562500002,8.182431912184827
sdi_mean,-0.18362884615384623,-0.28985507246376807,0.04925402223617705,2007,0.08538346463805722,10.276119047619048,7.021343137254902,-31.673201675473678
scv_mean,-0.12127480490523973,-0.34782608695652173,0.01725667966721163,2007,0.08538346463805722,6.813857142857144,4.693127450980391,-31.12377684788827
sca_centroid,0.005579803300308606,0.11594202898550725,0.44607885611402504,2003,0.9927568726970798,4.201119579550984,4.400709970522736,4.750885738726908
melt_rate_feb_mar,-0.005719064062547927,-0.17391304347826086,0.24661869116843957,2008,0.23065024207612503,0.6924132473246931,0.48377760228818734,-30.131665713014634
