variable,unit,mean,sen_per_yr,change_over_record,tau,p,first_half,second_half,pct_change
Seasonal maximum snow water equivalent,mm w.e.,62.80476308408661,-1.5057150214922523,-34.6314454943218,-0.1956521739130435,0.1907535857010569,72.21057117295159,53.39895499522162,-26.05105578333434
Seasonal snowfall,mm w.e.,160.37126189413894,-2.6226799500825733,-60.32163885189919,-0.33333333333333337,0.022808390757329572,180.1468087074942,140.59571508078375,-21.954923270902825
Seasonal total precipitation,mm,706.9552795324162,-0.6435333240896238,-14.801266454061349,-0.014492753623188406,0.9413463081964002,668.0473092566893,745.863249808143,11.648267940490092
Snowfall fraction,–,0.23308934370390946,-0.00446424269768818,-0.10267758204682814,-0.34782608695652173,0.01725667966721163,0.27158206129153895,0.19459662611628004,-28.347025134556397
