snow,index,n,r_simple,p_simple,r_partial,p_partial,attenuation,q_partial,sig_partial
sca_mean,NAO_ONDJFM,24,0.0664304433522443,0.7620400705871818,-0.35953529673125056,0.1002953807803974,-0.29310485337900627,0.9476057848447951,False
sca_mean,EA_ONDJFM,24,-0.22120733152246577,0.3022607433131558,-0.14820689831483935,0.5103936837906233,0.07300043320762642,0.9719783445134552,False
sca_mean,WP_ONDJFM,24,-0.44823322664651244,0.035179563514196294,-0.2911930568667122,0.18857701437174598,0.15704016977980023,0.9476057848447951,False
sca_mean,EAWR_ONDJFM,24,0.4415926755157461,0.035150616171054645,0.29564982193865574,0.181592172693933,0.14594285357709036,0.9476057848447951,False
sca_mean,SCAND_ONDJFM,24,-0.1723050329478048,0.398056259791173,0.0002391990294040468,0.9991570768682321,0.17206583391840075,0.9991570768682322,False
sca_mean,POL_ONDJFM,24,0.4001296262339733,0.048657970307206186,0.11176968130751008,0.6204579543862475,0.2883599449264632,0.9719783445134552,False
sca_mean,AO_ONDJFM,24,0.2173740875447362,0.2948828431727773,-0.25506617856143987,0.25195788366584515,-0.03769209101670368,0.9476057848447951,False
sca_mean,NINO34_ONDJFM,24,0.045589395108328976,0.8318711542726639,-0.10081077706681354,0.6553200652285378,-0.05522138195848457,0.9719783445134552,False
sca_mean,DMI_ONDJFM,24,-0.23460917591356864,0.2772680532421098,-0.3372915756574038,0.12476429466165662,-0.10268239974383517,0.9476057848447951,False
sca_mean,AMO_ONDJFM,23,-0.047246822037327954,0.8308914143265116,0.17920882929805146,0.4369963534597656,-0.1319620072607235,0.9719783445134552,False
sca_mean,NCP_ONDJFM,24,0.6391504400221957,0.0005503194251702419,0.0601959327020582,0.7901591067760414,0.5789545073201374,0.9719783445134552,False
sca_mean,MOI_ONDJFM,24,0.46375570444880204,0.02164290557936682,0.06189997463609685,0.7843526146298057,0.4018557298127052,0.9719783445134552,False
sca_mean,NAO_DJF,24,0.17854064900363067,0.4163610791460364,-0.014271521785752018,0.949738713530391,0.16426912721787865,0.9853611305345166,False
sca_mean,EA_DJF,24,-0.21222159217616154,0.32132609757503316,-0.1998624200720194,0.37251988623027954,0.012359172104142141,0.9719783445134552,False
sca_mean,WP_DJF,24,-0.23589929417114083,0.28101041034874247,-0.2584934484981579,0.24542104576699894,-0.022594154327017085,0.9476057848447951,False
sca_mean,EAWR_DJF,24,0.5354928862102325,0.0068758312985816895,0.19982749765183175,0.3726051621591856,0.3356653885584008,0.9719783445134552,False
sca_mean,SCAND_DJF,24,-0.18334450899616428,0.37126262892010453,-0.05460541852640282,0.8092827697993606,0.12873909046976145,0.9719783445134552,False
sca_mean,POL_DJF,24,0.5241550407480531,0.006834754067888949,0.12063778940873625,0.592807642659108,0.4035172513393168,0.9719783445134552,False
sca_mean,AO_DJF,24,0.38260144952542624,0.05925480555302544,-0.0256699328678124,0.9097192108714381,0.35693151665761386,0.9812701600411018,False
sca_mean,NINO34_DJF,24,0.040928870320947705,0.8485679238776797,-0.11369317557463923,0.6144166928474383,-0.07276430525369153,0.9719783445134552,False
sca_mean,DMI_DJF,24,-0.42112197416498565,0.04321040334249848,-0.4440134738546564,0.0384429652755578,-0.022891499689670747,0.9467485148568299,False
sca_mean,AMO_DJF,23,-0.016805034213355913,0.939313411284414,0.18476633856495098,0.42266954698179904,-0.16796130435159506,0.9719783445134552,False
sca_mean,NCP_DJF,24,0.5238655470365705,0.007217059424399668,0.1255185535107035,0.5778160313176279,0.398346993525867,0.9719783445134552,False
sca_mean,MOI_DJF,24,0.5579992923006922,0.00448629851268576,0.28478146858199554,0.19894262200349752,0.2732178237186967,0.9476057848447951,False
sca_mean,NAO_SON,24,-0.2348600463497278,0.252384640430772,-0.5154216939212103,0.014087089787029671,-0.2805616475714825,0.7908610865290822,False
sca_mean,EA_SON,24,-0.3332627740097822,0.10985783895404577,-0.12457699357937208,0.5806952465391957,0.20868578043041014,0.9719783445134552,False
sca_mean,WP_SON,24,0.02371202449044113,0.9103576259000152,0.08278282666516662,0.7141781806192389,-0.05907080217472549,0.9719783445134552,False
sca_mean,EAWR_SON,24,0.4985278107668989,0.010164501984958892,0.13836275391111622,0.5391745113982964,0.3601650568557827,0.9719783445134552,False
sca_mean,SCAND_SON,24,-0.13233849625606703,0.531436078615154,-0.05472970112970662,0.8088564452765346,0.0776087951263604,0.9719783445134552,False
sca_mean,POL_SON,24,0.13340057728468432,0.5524892844338349,0.11016726276238212,0.6255089151167077,0.023233314522302206,0.9719783445134552,False
sca_mean,AO_SON,24,-0.16379196803202406,0.4139885352825591,-0.26333232871269663,0.2363803615189399,-0.09954036068067257,0.9476057848447951,False
sca_mean,NINO34_SON,24,0.0840714993710377,0.6940992488493647,-0.010957776026496401,0.9613993490252906,0.07311372334454129,0.9853611305345166,False
sca_mean,DMI_SON,24,0.09037089113802968,0.6707345226538486,-0.04316818718651561,0.8487244972494243,0.04720270395151407,0.9730344554724191,False
sca_mean,AMO_SON,23,-0.14068283251073027,0.5246169107466676,0.0680097880321974,0.769586988533288,0.07267304447853287,0.9719783445134552,False
sca_mean,NCP_SON,24,0.35786571924437227,0.07809786392273303,-0.22895242015619602,0.3054137535365185,0.12891329908817625,0.9719783445134552,False
sca_mean,MOI_SON,24,-0.16533925133125518,0.41196535303352155,-0.1291147937139113,0.5668765268029492,0.036224457617343886,0.9719783445134552,False
sca_max,NAO_ONDJFM,24,0.06729460809529669,0.7531674705568314,-0.22800310797741843,0.3074785601138799,-0.16070849988212174,0.9719783445134552,False
sca_max,EA_ONDJFM,24,-0.24909705696846063,0.23932197626681614,-0.14875939572944427,0.5088006694363242,0.10033766123901636,0.9719783445134552,False
sca_max,WP_ONDJFM,24,-0.39033636203993527,0.055628970357841145,-0.21770633439619327,0.33041983455228063,0.172630027643742,0.9719783445134552,False
sca_max,EAWR_ONDJFM,24,0.3040658976368852,0.14498547607981432,0.13887854600969413,0.5376481236688402,0.16518735162719106,0.9719783445134552,False
sca_max,SCAND_ONDJFM,24,-0.3489359415151463,0.10048748433000401,-0.2788194752255433,0.20891996231332594,0.070116466289603,0.9476057848447951,False
sca_max,POL_ONDJFM,24,0.38791638759192754,0.06268235642750644,0.16206280976495055,0.47118288593018043,0.225853577826977,0.9719783445134552,False
sca_max,AO_ONDJFM,24,0.2999600168758925,0.15829306193854462,-0.015039776491402795,0.9470366593729791,0.2849202403844897,0.9853611305345166,False
sca_max,NINO34_ONDJFM,24,-0.06732362638673399,0.7549191062872896,-0.1726526760614254,0.4422853640488542,-0.10532904967469141,0.9719783445134552,False
sca_max,DMI_ONDJFM,24,-0.2871083775873776,0.17137563391343047,-0.30808892046808334,0.16304029165059628,-0.02098054288070572,0.9476057848447951,False
sca_max,AMO_ONDJFM,23,0.1602702798549985,0.4634642696950332,0.38957718987654555,0.08086603914416385,-0.22930691002154704,0.9476057848447951,False
sca_max,NCP_ONDJFM,24,0.582223229827881,0.003114978659461526,0.13310342292398247,0.5548517728117668,0.4491198069038985,0.9719783445134552,False
sca_max,MOI_ONDJFM,24,0.44895788709122386,0.028097143436194013,0.1420972346908786,0.5281685375529686,0.30686065240034527,0.9719783445134552,False
sca_max,NAO_DJF,24,0.2225525020749171,0.29135292283578373,0.09629561925976371,0.6698929882007474,0.1262568828151534,0.9719783445134552,False
sca_max,EA_DJF,24,-0.23089993886268229,0.2770249037269556,-0.17500864808284014,0.4359864087096903,0.055891290779842145,0.9719783445134552,False
sca_max,WP_DJF,24,-0.2595502746984344,0.215947606039229,-0.2395778575724757,0.28288409396334896,0.01997241712595868,0.9698883221600535,False
sca_max,EAWR_DJF,24,0.4369506871224481,0.032902039886051504,0.13206222812167656,0.5579795964996438,0.30488845900077155,0.9719783445134552,False
sca_max,SCAND_DJF,24,-0.30839496643433806,0.14859729711351388,-0.26144703977122796,0.2398765154906078,0.046947926663110096,0.9476057848447951,False
sca_max,POL_DJF,24,0.43575197744704014,0.035112035323233926,0.09201239742417557,0.6838242174420444,0.3437395800228646,0.9719783445134552,False
sca_max,AO_DJF,24,0.443168324260395,0.03139738878872055,0.1585923769087929,0.4808572954948088,0.2845759473516021,0.9719783445134552,False
sca_max,NINO34_DJF,24,-0.06957482309342805,0.747147491872253,-0.1765280922592737,0.43194946729420647,-0.10695326916584566,0.9719783445134552,False
sca_max,DMI_DJF,24,-0.37697016597557553,0.06805892624787371,-0.2688431050255195,0.2263523386575841,0.10812706095005603,0.9476057848447951,False
sca_max,AMO_DJF,23,0.151206559779402,0.4912552997228963,0.34853447368677754,0.12152543278956426,-0.19732791390737553,0.9476057848447951,False
sca_max,NCP_DJF,24,0.4535140263251182,0.027229956371885956,0.1025650786109775,0.6496901160444695,0.35094894771414076,0.9719783445134552,False
sca_max,MOI_DJF,24,0.610395130013149,0.0015545085208253167,0.43281988843758873,0.04422166101538867,0.17757524157556032,0.9467485148568299,False
sca_max,NAO_SON,24,-0.3103778522978611,0.14496386155564708,-0.5051866523139095,0.016476272636022544,-0.1948088000160484,0.7908610865290822,False
sca_max,EA_SON,24,-0.3643996665166509,0.08050755684676225,-0.18126770257940658,0.41948631431273886,0.18313196393724432,0.9719783445134552,False
sca_max,WP_SON,24,0.10321146908752525,0.6341215337371351,0.12547850359969606,0.577938374415615,-0.02226703451217081,0.9719783445134552,False
sca_max,EAWR_SON,24,0.3430819163008557,0.10514760141958424,-0.004430304592653112,0.9843887870687729,0.3386516117082026,0.9982534178725585,False
sca_max,SCAND_SON,24,-0.2559744603396973,0.22981185227455236,-0.2398339796689322,0.282354213094649,0.016140480670765095,0.9698883221600535,False
sca_max,POL_SON,24,0.17030399300236287,0.4188835120555041,0.1649279502990741,0.46327118092940434,0.005376042703288786,0.9719783445134552,False
sca_max,AO_SON,24,-0.06490166670213185,0.7685514999701241,-0.09315052127043016,0.6801125328366413,-0.028248854568298315,0.9719783445134552,False
sca_max,NINO34_SON,24,-0.03202300954989914,0.882203871316934,-0.10514537759893677,0.6414428594848909,-0.07312236804903763,0.9719783445134552,False
sca_max,DMI_SON,24,-0.031619781945441544,0.8838956748388356,-0.14210324059642265,0.528150922901437,-0.11048345865098111,0.9719783445134552,False
sca_max,AMO_SON,23,0.17362642176337334,0.42380026678445004,0.43745844685872454,0.0473484853264367,-0.2638320250953512,0.9467485148568299,False
sca_max,NCP_SON,24,0.3978188348877034,0.05644484896139927,0.010954358030965403,0.9614113808340249,0.386864476856738,0.9853611305345166,False
sca_max,MOI_SON,24,-0.17825848687842993,0.4148066260238552,-0.14989197616247538,0.505542637725212,0.028366510715954557,0.9719783445134552,False
sle_mean,NAO_ONDJFM,24,-0.20137638065264166,0.34174329499952216,0.05237356255193849,0.8169474506884998,0.14900281810070315,0.9719783445134552,False
sle_mean,EA_ONDJFM,24,0.172360393937363,0.4192805432842407,0.011309319102713416,0.9601619134090648,0.1610510748346496,0.9853611305345166,False
sle_mean,WP_ONDJFM,24,0.2928719338544008,0.1576674607169939,0.05670687412373482,0.802081298597626,0.23616505973066598,0.9719783445134552,False
sle_mean,EAWR_ONDJFM,24,-0.3280445774089179,0.11383005594010985,-0.1756845714093363,0.434188106567189,0.1523600059995816,0.9719783445134552,False
sle_mean,SCAND_ONDJFM,24,0.39721339222234076,0.05959837356278311,0.3536739836850363,0.10636863721487848,0.04353940853730448,0.9476057848447951,False
sle_mean,POL_ONDJFM,24,-0.18252240145110832,0.3967161988365636,0.18548139387790696,0.4085720386587943,-0.0029589924267986456,0.9719783445134552,False
sle_mean,AO_ONDJFM,24,-0.3206577028629583,0.13073418034349638,0.013379550992954103,0.9528765609132909,0.3072781518700042,0.9853611305345166,False
sle_mean,NINO34_ONDJFM,24,-0.11126126091314228,0.6052943018388477,-0.29433214018594944,0.18363858076491912,-0.18307087927280716,0.9476057848447951,False
sle_mean,DMI_ONDJFM,24,0.13740776217855377,0.5193355795738346,0.04644372400698366,0.8373886772913941,0.09096403817157012,0.9724513671771029,False
